nr;name;altitude_from;altitude_to;length;lift_cat;lift_nr;lift_name;slope_cat;geoid;geom;rid;pid;number;duration;slopeType;regionId;skiline
1;Armentarola;2735;1731;7300;;;;medium;;;10244;215840;1;2459;red;1;0
2;Lagazuoi;2735;2100;2388;;;;medium;;;10863;215881;2;1023;red;1;0
4;Falzarego;2300;2057;2183;;;;easy;;;10879;215874;4;556;blue;1;0
5;Col Gallina;2271;2158;696;;;;easy;;;10776;215862;5;212;blue;1;0
6;Ovest;2171;2053;510;;;;medium;;;10775;215897;6;291;red;1;0
7;Limedes;2300;2053;1798;;;;easy;;;10188;215883;7;233;blue;1;0
8;Falzarego Bai de Dones;;;1579;;;;medium;;;10707;215868;8;427;red;1;0
9;Averau;2416;2151;1235;;;;easy;;;10217;215841;9;439;blue;1;0
10;Potor;2255;1902;1431;;;;medium;;;10884;215901;10;183;red;1;0
11;5 Torri;2255;1877;1528;;;;medium;;;10275;215834;11;524;red;1;0
12;Scoiattoli;2255;2073;607;;;;medium;;;10395;215913;12;164;red;1;0
14;Lino Lacedelli;2255;1902;1431;;;;medium;;;10884;215902;14;387;red;1;0
90;Nuvolau;2416;1993;1800;;;;medium;;;10786;215891;90;300;red;1;0
91;Raccordo Nuvolau;2416;2374;264;;;;easy;;;10409;215903;91;75;blue;1;0
92;Skiweg Croda Negra;2413;2167;1740;;;;medium;;;10559;215915;92;356;red;1;0
11;Collegamento Col Gallina-Lagazuoi;2255;1877;1528;;;;medium;;;76378592;76378592;11;304;red;1;0
;Scoiattoli bassa;2255;1877;1528;;;;medium;;;76378592;76378593;;414;red;1;0
;5 Torri - Averau;;;200;;;;medium;;;76378592;76378594;;80;red;1;0
;Campo Scuola Socrepes;1368;1334;413;;;;easy;;;10158;215849;;112;blue;1;0
19;Costón del Falco;1626;1466;1109;;;;easy;;;10916;215869;19;461;blue;1;0
21;Olympia  Pocol;1673;1465;1506;;;;easy;;;10536;215894;21;408;blue;1;0
23;Rosà;1573;1513;656;;;;easy;;;10133;215911;23;495;blue;1;0
25;Socrepes;1552;1504;332;;;;easy;;;10864;215917;25;226;blue;1;0
26;Redoncè;1552;1377;917;;;;easy;;;10258;215905;26;248;blue;1;0
27;Roncato;1502;1335;1006;;;;easy;;;10321;215909;27;374;blue;1;0
28;San Zan;1502;1373;1243;;;;easy;;;10532;215912;28;424;blue;1;0
29;Col Tarón;1625;1493;863;;;;easy;;;10872;215864;29;347;blue;1;0
31;Valón;2258;2092;927;;;;medium;;;10765;215929;31;649;red;1;0
32;Canalone;2092;1661;2040;;;;medium;;;10733;215852;32;403;red;1;0
33;Vertigine Bianca;2092;1758;871;;;;hard;;;10413;215930;33;343;black;1;0
34;Cacciatori;1972;1757;545;;;;medium;;;10791;215848;34;1173;red;1;0
35;Stratofana Olimpica;2304;1545;2402;;;;medium;;;10678;215895;35;516;red;1;0
35;Olympia - Stratofana (pista Schuss);2304;2092;689;;;;hard;;;10682;215892;35;420;black;1;0
36;Caprioli;2220;2040;832;;;;medium;;;10543;215855;36;225;red;1;0
37;Labirinti;2092;1834;683;;;;hard;;;10795;215880;37;175;black;1;0
38;Tofanina;2092;1674;3418;;;;easy;;;10528;215927;38;756;blue;1;0
38;Tofanina 1;2037;1628;3418;;;;easy;;;10159;215926;38;925;blue;1;0
40;Col Drusciè B;1776;1446;1428;;;;easy;;;10804;215861;40;631;blue;1;0
41;Col Druscié A;1778;1453;907;;;;hard;;;10692;215860;41;781;black;1;0
42;Raccordo Piè Tofana;1778;1675;1047;;;;easy;;;10284;215904;42;203;blue;1;0
43;Muro de Ra Cioures;1639;1446;1437;;;;easy;;;10207;215889;43;398;blue;1;0
44;Stries;1446;1218;1737;;;;easy;;;10865;215922;44;470;blue;1;0
45;Skiweg Rumerlo;;;;;;;easy;;;10865;1681714202;45;;blue;1;0
46;Bus Tofana;2836;2476;1464;;;;medium;;;10635;215846;46;396;red;1;0
47;Cacciatori;2609;2458;680;;;;easy;;;10791;30683525;47;184;blue;1;0
48;Canalini 1;2490;2208;863;;;;medium;;;10740;215850;48;530;red;1;0
48;Canalini 2;2610;2459;680;;;;medium;;;13455;215847;48;184;red;1;0
49;Pian Ra Valles;2473;2214;961;;;;easy;;;10361;215899;49;279;blue;1;0
50;Variante Pian Ra Valles;2343;2207;394;;;;medium;;;13451;29007331;50;135;red;1;0
51;Forcella Rossa;2311;1665;2102;;;;hard;;;10750;215876;51;377;black;1;0
52;Ra Stradéla;;;;;;;easy;;;0;1673337767;52;;blue;1;0
22;Prati;1664;1455;1396;;;;easy;;;0;1673337768;22;378;blue;1;0
;collegamento Pocol Socrepes;1664;1455;1396;;;;easy;;;0;1673337769;;378;blue;1;0
60;Faloria Normale;2121;1677;2843;;;;medium;;;10467;215873;60;1436;red;1;0
61;Tondi Normale;2356;2133;1065;;;;medium;;;10250;215928;61;295;red;1;0
62;Vitelli;2356;2040;1169;;;;hard;;;10381;215932;62;805;black;1;0
62;Vitelli Bassa;2068;1760;1751;;;;medium;;;10743;215931;62;436;red;1;0
63;Canalone Franchetti;2356;2017;1055;;;;hard;;;10689;215853;63;480;black;1;0
64;Stratondi;2356;2056;846;;;;hard;;;10551;215921;64;310;black;1;0
65;Slittone;2230;2092;636;;;;medium;;;10082;215916;65;172;red;1;0
66;Bigontina;2058;1837;756;;;;hard;;;10626;215844;66;229;black;1;0
67;Monti/Zardini;2058;1941;550;;;;medium;;;10827;215888;67;468;red;1;0
68;Scoiattolo;2054;1816;905;;;;hard;;;0;27039414;68;245;black;1;0
;Rio Gere - Pian de Ra Bigontina;;;0;;;;easy;;;10640;215908;;501;blue;1;0
;  raccordo tondi slittone;;;;;;;medium;;;0;4032099;;;red;1;0
;collegamento monte zardini bigontina;;;200;;;;medium;;;0;40320910;;80;red;1;0
; son forca - ra bigotina;;;200;;;;medium;;;0;40320911;;80;red;1;0
; son forca - padeon;;;200;;;;medium;;;0;40320912;;80;red;1;0
73;Rio Gere;2217;1688;2556;;;;medium;;;10492;215907;73;773;red;1;0
70;Padeón;2219;2019;842;;;;medium;;;10184;215898;70;446;red;1;0
71;Creste Bianche;2193;2015;814;;;;medium;;;10736;215871;71;558;red;1;0
72;Son Forca;2193;2035;966;;;;easy;;;10098;215918;72;286;blue;1;0
95;A. Tomba;1525;856;2714;;;;medium;;;10260;215836;95;361;red;1;0
96;Taiarezze;1362;1122;863;;;;easy;;;10146;215923;96;281;blue;1;0
97;Fedo;1589;1427;835;;;;hard;;;10137;215875;97;226;black;1;0
93;Raccordo Follina;1362;1157;1100;;;;easy;;;10522;215900;93;298;blue;1;0
94;Malón;1589;1406;860;;;;easy;;;10389;215885;94;233;blue;1;0
;Campo scuola Ansiei;;;50;;;;easy;;;0;13503193;;14;blue;1;0
75;Col de Varda;2114;1858;1503;;;;medium;;;10476;215859;75;263;red;1;0
76;La Pala;2114;1938;526;;;;hard;;;10219;215879;76;142;black;1;0
77;Mazzorana;2114;1758;1437;;;;medium;;;10851;215886;77;137;red;1;0
78;Loita;1870;1752;793;;;;easy;;;10754;215884;78;215;blue;1;0
87;Donarié;1150;1054;601;;;;easy;;;10506;215872;87;163;blue;1;0
;Prati;1150;1054;601;;;;easy;;;10506;1703176754;;163;blue;1;0
84;Tambres;1342;1143;1524;;;;easy;;;10124;215924;84;712;blue;1;0
;Tambres 2;;;280;;;;easy;;;10209;215925;;76;blue;1;0
85;Ciastèl;1342;1104;966;;;;hard;;;10438;215858;85;261;black;1;0
86;Caprioli 1;1342;1106;1174;;;;medium;;;10132;215856;86;318;red;1;0
88;Brosolàs;1224;1208;113;;;;easy;;;10306;215845;88;411;blue;1;0
82;Serpentina;1584;1225;1527;;;;medium;;;10399;215914;82;413;red;1;0
83;Bianca;1584;1245;2056;;;;medium;;;10595;215843;83;1103;red;1;0
89;Antelao;1584;1309;1037;;;;medium;;;10780;215838;89;338;red;1;0
0;Lumen;;;;;;;medium;;;0;1700488091;0;;red;2;0
1;Sylvester;2271;975;4950;;;;hard;;;10860;3202;1;944;black;2;0
2;Seewiese;2271;1863;1250;;;;medium;;;10345;3277;2;736;red;2;0
2C;Seewiese 2B;2271;1863;300;;;;medium;;;40458686;40458686;2C;82;red;2;0
2R;Seewiese 2R;2175;1863;700;;;;medium;;;10248;3278;2R;129;red;2;0
2B;Trasse;2271;1863;1100;;;;hard;;;10458;3279;2B;168;black;2;0
3;Pramstall;2273;1732;2000;;;;medium;;;10264;3280;3;448;red;2;0
4;Herrnegg;2273;975;5100;;;;hard;;;10434;3273;4;795;black;2;0
5;Olang 2;2273;2072;1200;;;;easy;;;10437;3281;5;373;blue;2;0
6;Plateau;2273;2025;1114;;;;easy;;;10579;3282;6;410;blue;2;0
7;Belvedere 7;2273;2005;1200;;;;easy;;;11185;3283;7;368;blue;2;0
8;Belvedere 8;2273;2205;1400;;;;easy;;;10073;3284;8;301;blue;2;0
9;Furcia 9;2273;1740;2702;;;;easy;;;10092;3285;9;671;blue;2;0
10;Sonne;2273;2067;900;;;;easy;;;10666;3286;10;261;blue;2;0
11;Sonne 11;2273;2067;1000;;;;medium;;;10788;3287;11;215;red;2;0
12;Furcia 12;2273;1748;2427;;;;medium;;;10808;3288;12;493;red;2;0
14;Korer 1;1096;936;1100;;;;easy;;;10096;3289;14;333;blue;2;0
15;Korer 2;1096;936;1100;;;;easy;;;11184;3292;15;448;blue;2;0
16;Ried;2275;935;7000;;;;medium;;;11634;3297;16;1065;red;2;0
16a;Ried;2275;935;10846;;;;medium;;;11630;11016427;16a;2;red;2;0
17;Spitzhorn;2168;1819;1730;;;;easy;;;10202;3300;17;869;blue;2;0
18;Alpen;2168;1819;1756;;;;easy;;;10079;3301;18;322;blue;2;0
19;Pracken;1819;1635;892;;;;easy;;;10463;3304;19;277;blue;2;0
20;Ruipa;2025;1819;890;;;;easy;;;10571;3306;20;271;blue;2;0
21;Gassl;2072;1164;3320;;;;medium;;;10764;3314;21;731;red;2;0
22;Arndt;2072;1662;2028;;;;medium;;;10466;3318;22;451;red;2;0
23;World Record Piste;1680;1174;1650;;;;medium;;;10590;3319;23;647;red;2;0
24;Lorenzi;2043;1680;1334;;;;easy;;;10758;216236;24;431;blue;2;0
27;Hinterberg;2271;1571;2900;;;;easy;;;11632;7365549;27;444;blue;2;0
28;Marchner;2112;1556;2280;;;;easy;;;10419;3330;28;467;blue;2;0
29;Costa 29;1861;1738;923;;;;easy;;;10223;3333;29;183;blue;2;0
30;Costa 30;1861;1738;790;;;;easy;;;10766;3401;30;144;blue;2;0
31;Rara 31;1850;1678;911;;;;easy;;;10302;3336;31;329;blue;2;0
32;Pre da Peres;2015;1738;1067;;;;medium;;;10674;3337;32;576;red;2;0
32R;Nordica Ski Arena Pre da Peres;2015;1738;866;;;;hard;;;10166;3338;32R;350;black;2;0
33;Rara 33;1850;1678;818;;;;medium;;;10576;3339;33;316;red;2;0
34;Col Toron;1804;1468;1782;;;;medium;;;10611;3340;34;379;red;2;0
36;Miara;1468;1221;1976;;;;easy;;;10679;3341;36;351;blue;2;0
37;Cianross;1307;1203;465;;;;medium;;;10176;3342;37;126;red;2;0
38;Corn;1307;1203;765;;;;easy;;;10227;3343;38;207;blue;2;0
39;Pedagà;1314;1185;720;;;;easy;;;10319;3344;39;214;blue;2;0
40;Erta;1620;1185;1610;;;;hard;;;10241;3346;40;454;black;2;0
40B;Sorega;1620;1185;1450;;;;hard;;;0;1664176811;40B;392;black;2;0
41;Piz de Plaies;1620;1185;2310;;;;medium;;;10519;3347;41;457;red;2;0
45;Piculin;1620;1113;2000;;;;hard;;;10441;3348;45;703;black;2;0
51;Riepen;1607;1245;1700;;;;easy;;;10161;3349;51;460;blue;2;0
53;Guggenberg;1396;1215;950;;;;easy;;;10067;3350;53;257;blue;2;0
55;Berglift;1684;1450;1200;;;;easy;;;10328;3351;55;325;blue;2;0
57;Terenten;1400;1226;850;;;;easy;;;10280;3352;57;230;blue;2;0
59;Antermoia;1689;1515;800;;;;easy;;;10773;3354;59;217;blue;2;0
56;Puregg;1347;1246;441;;;;easy;;;11231;1458476;56;119;blue;2;0
56R;Hintna Riese;1347;1246;441;;;;hard;;;11231;1458477;56R;119;black;2;0
;Bus - Piculin;;;;;;;easy;;;40458686;40458687;;30;blue;2;0
;Miara - Trans Bronta;;;;;;;easy;;;40458686;40458688;;30;blue;2;0
;Collegamento Plan de Corones monte;;;;;;;easy;;;40458686;40458689;;30;blue;2;0
;Kronplatz 2000 - Kronplatz 1;;;;;;;easy;;;40458686;404586810;;30;blue;2;0
;Kronplatz 2000 - Kronplatz 1;;;35;;;;easy;;;40458686;404586811;;30;blue;2;0
35;Abrusè;1569;1532;294;;;;easy;;;10372;215667;35;327;blue;3;0
5;Arlara;2012;1862;750;;;;easy;;;10496;215669;5;344;blue;3;0
6A;Arlara - Pralongiá  II.;2005;1923;1600;;;;easy;;;10119;215670;6A;231;blue;3;0
7;Biok - Pralongia II;2064;1901;1550;;;;easy;;;10483;215678;7;306;blue;3;0
1;Boé;2195;1538;3300;;;;medium;;;10432;215680;1;581;red;3;0
;Boé - Costoratta;2071;2039;404;;;;medium;;;10478;215681;;50;red;3;0
2;Boé - Crep de Mont;1997;1945;462;;;;medium;;;10719;215682;2;342;red;3;0
5 B;Braia Fraida;1995;1899;839;;;;easy;;;10634;215684;5 B;292;blue;3;0
5;Braia Fraida - Arlara;2025;1996;361;;;;easy;;;10331;215688;5;98;blue;3;0
31;Cherz II;2086;1854;1505;;;;medium;;;10534;215689;31;407;red;3;0
30;Cherz I;2086;1854;1205;;;;easy;;;10060;215690;30;326;blue;3;0
8;Capanna Nera;1724;1610;971;;;;easy;;;10192;215692;8;318;blue;3;0
8;Costes Da l'Ega;1611;1547;604;;;;easy;;;10491;215693;8;228;blue;3;0
4 1/2;Col Alt 4 1/2;1910;1722;900;;;;easy;;;10354;215698;4 1/2;244;blue;3;0
;Col Alt - Braia Fraida;1920;1899;246;;;;easy;;;10630;215699;;145;blue;3;0
4;Col Alt 4;1976;1560;2300;;;;medium;;;10408;215700;4;619;red;3;0
22 A;Costoratta;2057;1839;886;;;;medium;;;10350;215713;22 A;174;red;3;0
2;Crep De Mont;1918;1706;1400;;;;easy;;;10301;215714;2;194;blue;3;0
34;Pista del sole;2134;1756;2280;;;;easy;;;10351;215716;34;617;blue;3;0
33;Forcella Incisa;1927;1758;2033;;;;easy;;;10453;215718;33;169;blue;3;0
21;Incisa;2123;1926;1300;;;;easy;;;10239;215727;21;352;blue;3;0
8;La Baita - Pralongiá valle;1895;1710;1400;;;;easy;;;10909;215728;8;397;blue;3;0
6;La Brancia - Pralongiá  II;2035;1894;1594;;;;easy;;;10573;215730;6;431;blue;3;0
32;Vizza;2086;1767;1907;;;;easy;;;10818;215735;32;339;blue;3;0
31;Pralongiá  I (Rif. Marmotta - Planac);1875;1760;811;;;;easy;;;10061;215742;31;312;blue;3;0
5A;Pralongiá  I - Arlara;1875;1813;308;;;;medium;;;10890;215743;5A;104;red;3;0
8;Pralongiá  II;2131;1897;1288;;;;easy;;;10304;215745;8;253;blue;3;0
21B;Pralongiá  - Punta Trieste;2062;2022;469;;;;easy;;;10195;215746;21B;226;blue;3;0
21 B;Seggiovia Pralongiá;2021;1943;651;;;;easy;;;10642;215747;21 B;234;blue;3;0
8B;Seggiovia Pralongiá - Pralongiá II;2020;1972;261;;;;easy;;;10117;215748;8B;183;blue;3;0
1;Vallon;2523;2195;1317;;;;hard;;;10832;215764;1;531;black;3;0
22;Boé - Campolongo;2191;1966;1023;;;;medium;;;10134;215765;22;427;red;3;0
;Vizza - Masarei;1790;1758;100;;;;easy;;;10286;215767;;182;blue;3;0
14;La Brancia 14;2041;1902;850;;;;easy;;;10383;609791;14;102;blue;3;0
8:00 AM;Punta Trieste - La Baita;2020;1887;736;;;;easy;;;11239;1225713;8:00 AM;199;blue;3;0
1:00 AM;Boé variante;2001;1759;1668;;;;medium;;;10432;64162268;1:00 AM;238;red;3;0
5;Col Alt 5;1862;1560;2071;;;;easy;;;10408;64165076;5;561;blue;3;0
21 A;Seggiovia Pralongiá;1943;1710;1290;;;;medium;;;10642;64461767;21 A;349;red;3;0
21 B ;Seggiovia Pralongiá (P.ta Trieste - Rif. Marmotta);1943;1710;1290;;;;medium;;;10642;64461768;21 B ;349;red;3;0
35;Borest - Costes da l'ega;1569;1532;294;;;;easy;;;76384898;76384898;35;197;blue;3;0
35;Collegamento Capanna Nera;1569;1532;294;;;;easy;;;79387077;79387077;35;26;blue;3;0
35;Crep de Munt - Boe;1569;1532;294;;;;easy;;;80533626;80533626;35;96;blue;3;0
25;Boé - Costes da l'Ega;1453;1430;160;;;;easy;;;76362204;76362204;25;201;blue;3;0
;Collegamento Piz Arlara - Costes dal Ega;1569;1532;294;;;;easy;;;80533626;80533627;;80;blue;3;0
;Collegamento Pralongia 2 - Pralongia 1;1569;1532;294;;;;easy;;;80533626;80533628;;80;blue;3;0
;Collegamento Borest - Boè;1569;1532;294;;;;easy;;;80533626;80533629;;80;blue;3;0
;Collegamento Boè - Vallon;1569;1532;294;;;;easy;;;80533626;805336210;;80;blue;3;0
;Collegamento Costoratta - Campolongo;1569;1532;294;;;;easy;;;80533626;805336211;;80;blue;3;0
;Collegamento Costoratta - Cherz;1569;1532;294;;;;easy;;;80533626;805336212;;35;blue;3;0
;Collegamento Pralongia - Crep de Munt;1569;1532;294;;;;easy;;;80533626;805336213;;35;blue;3;0
17;Altin;1957;1397;3200;;;;medium;;;10591;215668;17;555;red;3;0
16A;Bamby;2077;1790;1393;;;;medium;;;10741;215675;16A;321;red;3;0
16B;Bamby 2;2073;1789;906;;;;medium;;;10088;215676;16B;411;red;3;0
20;Braia Fraida - Roby;2022;1926;739;;;;easy;;;10891;215687;20;156;blue;3;0
;Col d'Altin 1;1420;1403;250;;;;easy;;;10697;215701;;299;blue;3;0
;Col d'Altin 2;1420;1403;250;;;;easy;;;10544;215702;;68;blue;3;0
25;Doninz-Colz;1453;1430;160;;;;easy;;;10849;215709;25;114;blue;3;0
;Colz - Doninz;1453;1430;70;;;;easy;;;10627;215710;;53;blue;3;0
26;Doninz;1447;1403;290;;;;easy;;;10416;215717;26;228;blue;3;0
25;Gardenaccia B;1782;1432;2040;;;;easy;;;10755;215724;25;636;blue;3;0
26;Gardenaccia A;1782;1521;920;;;;medium;;;10828;215725;26;537;red;3;0
17;Gran Risa;2073;1406;2193;;;;hard;;;10482;215726;17;633;black;3;0
15 A;La Brancia - n.15;1967;1913;311;;;;easy;;;10810;215729;15 A;294;blue;3;0
23;La Fraina;1997;1789;950;;;;medium;;;10584;215732;23;258;red;3;0
18;Pre Dai Corf;2058;1919;900;;;;easy;;;10838;215749;18;277;blue;3;0
19;Roby;2040;1938;600;;;;easy;;;10720;215750;19;463;blue;3;0
24;Pista di collegamento Bamby - Altin;1790;1612;1897;;;;easy;;;10714;215755;24;343;blue;3;0
27;Sponata;1712;1353;1810;;;;medium;;;10070;215759;27;357;red;3;0
20;Braia Fraida intermedia - Roby;2023;1960;319;;;;easy;;;10891;64163218;20;86;blue;3;0
20;Colz - la Rüa;;;;;;;easy;;;10891;64163219;20;56;blue;3;0
1;Lagazuoi - Armentarola;2735;1728;8500;;;;medium;;;10500;215671;1;2301;red;3;0
9;Armentarola;1695;1616;550;;;;easy;;;10443;215672;9;241;blue;3;0
13;Biok;2058;1840;1300;;;;easy;;;10915;215677;13;291;blue;3;0
10;Biok - Saraghes;2058;1840;2600;;;;easy;;;10859;215679;10;663;blue;3;0
28;Ciampai;2016;1903;617;;;;easy;;;10756;215694;28;480;blue;3;0
;Ciampai - La Fraina;1906;1882;200;;;;easy;;;10433;215695;;219;blue;3;0
10:00 AM;Ciampai - n. 10;2016;1956;2200;;;;easy;;;10657;215696;10:00 AM;595;blue;3;0
30;Codes;1993;1924;500;;;;easy;;;10274;215697;30;166;blue;3;0
29;La Para;2044;1937;550;;;;easy;;;10700;215733;29;239;blue;3;0
;Bordercross La Para;2039;1938;588;;;;easy;;;10695;215734;;180;blue;3;0
9A;Pralongiá - San Cassiano;2135;1797;2829;;;;easy;;;10320;215736;9A;766;blue;3;0
;Armentarola - Piz Sorega;1672;1607;540;;;;easy;;;10444;215738;;1020;blue;3;0
12;Piz Sorega A;2000;1545;2109;;;;medium;;;10262;215739;12;302;red;3;0
